boxes,frame_index,class_label,bounding_box,confidence_score
0,0001,truck,"[126.837158203125, 439.8657531738281, 3721.861328125, 2092.53125]",0.8981139659881592
1,0001,person,"[2854.19775390625, 464.7488708496094, 3362.83203125, 1007.6508178710938]",0.8685211539268494
2,0002,car,"[287.980224609375, 91.49652099609375, 3369.36572265625, 2120.09912109375]",0.6707207560539246
3,0002,truck,"[287.980224609375, 91.49652099609375, 3369.36572265625, 2120.09912109375]",0.42285415530204773
4,0003,motorcycle,"[65.15350341796875, 66.5592041015625, 3840.0, 2147.9921875]",0.6052407026290894
5,0003,motorcycle,"[92.767822265625, 148.5391845703125, 3840.0, 2137.756103515625]",0.5523579120635986
6,0004,car,"[0.0, 0.37371826171875, 3804.312744140625, 2147.865966796875]",0.4960969090461731
7,0004,truck,"[0.0, 0.37371826171875, 3804.312744140625, 2147.865966796875]",0.27094921469688416
8,0005,person,"[1453.02783203125, 9.659042358398438, 3078.45849609375, 1947.8624267578125]",0.8680946826934814
9,0006,person,"[1.698760986328125, 1116.98046875, 1368.106689453125, 2140.978759765625]",0.4189760684967041
10,0006,person,"[1.1019744873046875, 58.431976318359375, 1385.7889404296875, 2140.878173828125]",0.3442307114601135
11,0007,person,"[2369.3603515625, 207.75091552734375, 3369.62353515625, 2132.9326171875]",0.9446110725402832
12,0007,train,"[23.2781982421875, 8.79693603515625, 2682.7197265625, 2131.620849609375]",0.3731873333454132
13,0008,person,"[2402.27392578125, 243.01080322265625, 3323.069091796875, 2134.13330078125]",0.9365261197090149
14,0008,cell phone,"[2567.782470703125, 970.9248046875, 2648.83642578125, 1073.5859375]",0.4122495949268341
15,0009,person,"[2328.2734375, 219.109130859375, 3278.9150390625, 2136.370361328125]",0.942502498626709
16,0010,person,"[2507.987548828125, 169.98257446289062, 3605.293212890625, 2132.70166015625]",0.9351397752761841
17,0012,person,"[2414.708984375, 128.43145751953125, 3377.40673828125, 2136.25146484375]",0.9334052205085754
18,0013,person,"[2339.4580078125, 239.51312255859375, 3351.6279296875, 2139.219970703125]",0.9359750151634216
19,0013,train,"[13.13818359375, 0.67364501953125, 2573.53466796875, 2109.230712890625]",0.5075165629386902
20,0014,person,"[2124.2763671875, 239.22702026367188, 3357.84130859375, 2139.204345703125]",0.9473125338554382
21,0015,person,"[2373.06005859375, 233.3726806640625, 3343.134765625, 2138.2763671875]",0.9351966381072998
